GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Senior Java Test Template Project,com.cc.practicaltest.model,CutomerDetail,0,31,0,0,0,13,0,9,0,9
Senior Java Test Template Project,com.cc.practicaltest.model,OrderDetails,0,129,0,0,0,55,0,37,0,37
Senior Java Test Template Project,com.cc.practicaltest.model,TrimAddonDetails,0,45,0,0,0,19,0,13,0,13
Senior Java Test Template Project,com.cc.practicaltest.contstant,SQLConstant,0,6,0,0,0,1,0,1,0,1
Senior Java Test Template Project,com.cc.practicaltest.service,OrderDetailsServiceImpl,0,105,1,5,0,30,1,9,0,7
Senior Java Test Template Project,com.cc.practicaltest.controller,ReteriveOrderDetailsController,0,89,0,4,0,19,0,6,0,4
Senior Java Test Template Project,com.cc.practicaltest.dao,OrderdetaildaoImpl.new PreparedStatementSetter() {...},0,15,0,0,0,3,0,2,0,2
Senior Java Test Template Project,com.cc.practicaltest.dao,OrderdetaildaoImpl,0,228,3,3,0,60,3,10,0,10
Senior Java Test Template Project,com.cc.practicaltest.config,AppConfig,0,26,0,0,0,8,0,3,0,3
Senior Java Test Template Project,com.cc.practicaltest.config,MvcWebApplicationInitializer,16,3,0,0,3,1,3,1,3,1
